"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Mean Annual Earnings","2011","15 - 24 years","Both sexes","Euro","17899"
"Mean Annual Earnings","2011","15 - 24 years","Male","Euro","18900"
"Mean Annual Earnings","2011","15 - 24 years","Female","Euro","17085"
"Mean Annual Earnings","2011","15 years and over","Both sexes","Euro","39594"
"Mean Annual Earnings","2011","15 years and over","Male","Euro","45781"
"Mean Annual Earnings","2011","15 years and over","Female","Euro","33733"
"Mean Annual Earnings","2011","25 - 29 years","Both sexes","Euro","30230"
"Mean Annual Earnings","2011","25 - 29 years","Male","Euro","31135"
"Mean Annual Earnings","2011","25 - 29 years","Female","Euro","29464"
"Mean Annual Earnings","2011","30 - 39 years","Both sexes","Euro","40872"
"Mean Annual Earnings","2011","30 - 39 years","Male","Euro","44439"
"Mean Annual Earnings","2011","30 - 39 years","Female","Euro","37293"
"Mean Annual Earnings","2011","40 - 49 years","Both sexes","Euro","46364"
"Mean Annual Earnings","2011","40 - 49 years","Male","Euro","55690"
"Mean Annual Earnings","2011","40 - 49 years","Female","Euro","37203"
"Mean Annual Earnings","2011","50 - 59 years","Both sexes","Euro","44307"
"Mean Annual Earnings","2011","50 - 59 years","Male","Euro","54603"
"Mean Annual Earnings","2011","50 - 59 years","Female","Euro","34940"
"Mean Annual Earnings","2011","60 years and over","Both sexes","Euro","33267"
"Mean Annual Earnings","2011","60 years and over","Male","Euro","41581"
"Mean Annual Earnings","2011","60 years and over","Female","Euro","25021"
"Mean Annual Earnings","2012","15 - 24 years","Both sexes","Euro","17268"
"Mean Annual Earnings","2012","15 - 24 years","Male","Euro","18314"
"Mean Annual Earnings","2012","15 - 24 years","Female","Euro","16357"
"Mean Annual Earnings","2012","15 years and over","Both sexes","Euro","39487"
"Mean Annual Earnings","2012","15 years and over","Male","Euro","45452"
"Mean Annual Earnings","2012","15 years and over","Female","Euro","33806"
"Mean Annual Earnings","2012","25 - 29 years","Both sexes","Euro","29677"
"Mean Annual Earnings","2012","25 - 29 years","Male","Euro","30655"
"Mean Annual Earnings","2012","25 - 29 years","Female","Euro","28830"
"Mean Annual Earnings","2012","30 - 39 years","Both sexes","Euro","40277"
"Mean Annual Earnings","2012","30 - 39 years","Male","Euro","43501"
"Mean Annual Earnings","2012","30 - 39 years","Female","Euro","37055"
"Mean Annual Earnings","2012","40 - 49 years","Both sexes","Euro","46443"
"Mean Annual Earnings","2012","40 - 49 years","Male","Euro","55395"
"Mean Annual Earnings","2012","40 - 49 years","Female","Euro","37609"
"Mean Annual Earnings","2012","50 - 59 years","Both sexes","Euro","44213"
"Mean Annual Earnings","2012","50 - 59 years","Male","Euro","54330"
"Mean Annual Earnings","2012","50 - 59 years","Female","Euro","35102"
"Mean Annual Earnings","2012","60 years and over","Both sexes","Euro","32390"
"Mean Annual Earnings","2012","60 years and over","Male","Euro","40450"
"Mean Annual Earnings","2012","60 years and over","Female","Euro","24468"
"Mean Annual Earnings","2013","15 - 24 years","Both sexes","Euro","17119"
"Mean Annual Earnings","2013","15 - 24 years","Male","Euro","18291"
"Mean Annual Earnings","2013","15 - 24 years","Female","Euro","16031"
"Mean Annual Earnings","2013","15 years and over","Both sexes","Euro","39682"
"Mean Annual Earnings","2013","15 years and over","Male","Euro","45511"
"Mean Annual Earnings","2013","15 years and over","Female","Euro","34058"
"Mean Annual Earnings","2013","25 - 29 years","Both sexes","Euro","29486"
"Mean Annual Earnings","2013","25 - 29 years","Male","Euro","30546"
"Mean Annual Earnings","2013","25 - 29 years","Female","Euro","28536"
"Mean Annual Earnings","2013","30 - 39 years","Both sexes","Euro","40026"
"Mean Annual Earnings","2013","30 - 39 years","Male","Euro","43088"
"Mean Annual Earnings","2013","30 - 39 years","Female","Euro","36941"
"Mean Annual Earnings","2013","40 - 49 years","Both sexes","Euro","46715"
"Mean Annual Earnings","2013","40 - 49 years","Male","Euro","55315"
"Mean Annual Earnings","2013","40 - 49 years","Female","Euro","38118"
"Mean Annual Earnings","2013","50 - 59 years","Both sexes","Euro","44365"
"Mean Annual Earnings","2013","50 - 59 years","Male","Euro","54237"
"Mean Annual Earnings","2013","50 - 59 years","Female","Euro","35361"
"Mean Annual Earnings","2013","60 years and over","Both sexes","Euro","32981"
"Mean Annual Earnings","2013","60 years and over","Male","Euro","40921"
"Mean Annual Earnings","2013","60 years and over","Female","Euro","25148"
"Mean Annual Earnings","2014","15 - 24 years","Both sexes","Euro","17388"
"Mean Annual Earnings","2014","15 - 24 years","Male","Euro","18643"
"Mean Annual Earnings","2014","15 - 24 years","Female","Euro","16181"
"Mean Annual Earnings","2014","15 years and over","Both sexes","Euro","40078"
"Mean Annual Earnings","2014","15 years and over","Male","Euro","45933"
"Mean Annual Earnings","2014","15 years and over","Female","Euro","34331"
"Mean Annual Earnings","2014","25 - 29 years","Both sexes","Euro","29774"
"Mean Annual Earnings","2014","25 - 29 years","Male","Euro","31088"
"Mean Annual Earnings","2014","25 - 29 years","Female","Euro","28537"
"Mean Annual Earnings","2014","30 - 39 years","Both sexes","Euro","40133"
"Mean Annual Earnings","2014","30 - 39 years","Male","Euro","43238"
"Mean Annual Earnings","2014","30 - 39 years","Female","Euro","36924"
"Mean Annual Earnings","2014","40 - 49 years","Both sexes","Euro","47129"
"Mean Annual Earnings","2014","40 - 49 years","Male","Euro","55498"
"Mean Annual Earnings","2014","40 - 49 years","Female","Euro","38648"
"Mean Annual Earnings","2014","50 - 59 years","Both sexes","Euro","44774"
"Mean Annual Earnings","2014","50 - 59 years","Male","Euro","54725"
"Mean Annual Earnings","2014","50 - 59 years","Female","Euro","35650"
"Mean Annual Earnings","2014","60 years and over","Both sexes","Euro","33521"
"Mean Annual Earnings","2014","60 years and over","Male","Euro","41383"
"Mean Annual Earnings","2014","60 years and over","Female","Euro","25684"
"Mean Annual Earnings","2015","15 - 24 years","Both sexes","Euro","17921"
"Mean Annual Earnings","2015","15 - 24 years","Male","Euro","19133"
