"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Weekly Earnings","2011","Both sexes","All NACE economic sectors","Euro","667.76"
"Mean Weekly Earnings","2011","Both sexes","Construction (F)","Euro","620.71"
"Mean Weekly Earnings","2011","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","485.82"
"Mean Weekly Earnings","2011","Both sexes","Transportation and storage (H)","Euro","695.56"
"Mean Weekly Earnings","2011","Both sexes","Accommodation and food service activities (I)","Euro","318.02"
"Mean Weekly Earnings","2011","Both sexes","Information and communication (J)","Euro","1004.01"
"Mean Weekly Earnings","2011","Both sexes","Professional, scientific and technical activities (M)","Euro","775.15"
"Mean Weekly Earnings","2011","Both sexes","Administrative and support service activities (N)","Euro","489.13"
"Mean Weekly Earnings","2011","Both sexes","Public administration and defence; compulsory social security (O)","Euro","892.48"
"Mean Weekly Earnings","2011","Both sexes","Education (P)","Euro","776.6"
"Mean Weekly Earnings","2011","Both sexes","Human health and social work activities (Q)","Euro","674.64"
"Mean Weekly Earnings","2011","Both sexes","Industry (B to E)","Euro","808.79"
"Mean Weekly Earnings","2011","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","984.25"
"Mean Weekly Earnings","2011","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","431.34"
"Mean Weekly Earnings","2011","Male","All NACE economic sectors","Euro","768.31"
"Mean Weekly Earnings","2011","Male","Construction (F)","Euro","644.75"
"Mean Weekly Earnings","2011","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","586.84"
"Mean Weekly Earnings","2011","Male","Transportation and storage (H)","Euro","732.3"
"Mean Weekly Earnings","2011","Male","Accommodation and food service activities (I)","Euro","361.81"
"Mean Weekly Earnings","2011","Male","Information and communication (J)","Euro","1102.27"
"Mean Weekly Earnings","2011","Male","Professional, scientific and technical activities (M)","Euro","956.01"
"Mean Weekly Earnings","2011","Male","Administrative and support service activities (N)","Euro","547.64"
"Mean Weekly Earnings","2011","Male","Public administration and defence; compulsory social security (O)","Euro","974.38"
"Mean Weekly Earnings","2011","Male","Education (P)","Euro","882.25"
"Mean Weekly Earnings","2011","Male","Human health and social work activities (Q)","Euro","857.38"
"Mean Weekly Earnings","2011","Male","Industry (B to E)","Euro","863.68"
"Mean Weekly Earnings","2011","Male","Financial, insurance and real estate activities (K,L)","Euro","1251.1"
"Mean Weekly Earnings","2011","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","527.55"
"Mean Weekly Earnings","2011","Female","All NACE economic sectors","Euro","574.53"
"Mean Weekly Earnings","2011","Female","Construction (F)","Euro","445.43"
"Mean Weekly Earnings","2011","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","394.38"
"Mean Weekly Earnings","2011","Female","Transportation and storage (H)","Euro","575.93"
"Mean Weekly Earnings","2011","Female","Accommodation and food service activities (I)","Euro","280.42"
"Mean Weekly Earnings","2011","Female","Information and communication (J)","Euro","832.91"
"Mean Weekly Earnings","2011","Female","Professional, scientific and technical activities (M)","Euro","626.8"
"Mean Weekly Earnings","2011","Female","Administrative and support service activities (N)","Euro","408.38"
"Mean Weekly Earnings","2011","Female","Public administration and defence; compulsory social security (O)","Euro","772.26"
"Mean Weekly Earnings","2011","Female","Education (P)","Euro","733.75"
"Mean Weekly Earnings","2011","Female","Human health and social work activities (Q)","Euro","627.48"
"Mean Weekly Earnings","2011","Female","Industry (B to E)","Euro","674.49"
"Mean Weekly Earnings","2011","Female","Financial, insurance and real estate activities (K,L)","Euro","785.3"
"Mean Weekly Earnings","2011","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","368.2"
"Mean Weekly Earnings","2012","Both sexes","All NACE economic sectors","Euro","664.21"
"Mean Weekly Earnings","2012","Both sexes","Construction (F)","Euro","605.87"
"Mean Weekly Earnings","2012","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","488.63"
"Mean Weekly Earnings","2012","Both sexes","Transportation and storage (H)","Euro","688.21"
"Mean Weekly Earnings","2012","Both sexes","Accommodation and food service activities (I)","Euro","316.66"
"Mean Weekly Earnings","2012","Both sexes","Information and communication (J)","Euro","1017.98"
"Mean Weekly Earnings","2012","Both sexes","Professional, scientific and technical activities (M)","Euro","767.53"
"Mean Weekly Earnings","2012","Both sexes","Administrative and support service activities (N)","Euro","490.73"
"Mean Weekly Earnings","2012","Both sexes","Public administration and defence; compulsory social security (O)","Euro","876.38"
"Mean Weekly Earnings","2012","Both sexes","Education (P)","Euro","773.82"
"Mean Weekly Earnings","2012","Both sexes","Human health and social work activities (Q)","Euro","664.3"
"Mean Weekly Earnings","2012","Both sexes","Industry (B to E)","Euro","814.89"
"Mean Weekly Earnings","2012","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","990.62"
"Mean Weekly Earnings","2012","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","429.07"
"Mean Weekly Earnings","2012","Male","All NACE economic sectors","Euro","760.77"
"Mean Weekly Earnings","2012","Male","Construction (F)","Euro","629.77"
"Mean Weekly Earnings","2012","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","587.47"
"Mean Weekly Earnings","2012","Male","Transportation and storage (H)","Euro","723.92"
"Mean Weekly Earnings","2012","Male","Accommodation and food service activities (I)","Euro","359.4"
"Mean Weekly Earnings","2012","Male","Information and communication (J)","Euro","1112.23"
"Mean Weekly Earnings","2012","Male","Professional, scientific and technical activities (M)","Euro","932.98"
"Mean Weekly Earnings","2012","Male","Administrative and support service activities (N)","Euro","546.33"
"Mean Weekly Earnings","2012","Male","Public administration and defence; compulsory social security (O)","Euro","952.74"
"Mean Weekly Earnings","2012","Male","Education (P)","Euro","867.11"
"Mean Weekly Earnings","2012","Male","Human health and social work activities (Q)","Euro","816.36"
"Mean Weekly Earnings","2012","Male","Industry (B to E)","Euro","867.42"
"Mean Weekly Earnings","2012","Male","Financial, insurance and real estate activities (K,L)","Euro","1239.17"
"Mean Weekly Earnings","2012","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","525.37"
"Mean Weekly Earnings","2012","Female","All NACE economic sectors","Euro","574.35"
"Mean Weekly Earnings","2012","Female","Construction (F)","Euro","431.7"
"Mean Weekly Earnings","2012","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","398.42"
"Mean Weekly Earnings","2012","Female","Transportation and storage (H)","Euro","573.2"
"Mean Weekly Earnings","2012","Female","Accommodation and food service activities (I)","Euro","279.67"
"Mean Weekly Earnings","2012","Female","Information and communication (J)","Euro","850.09"
"Mean Weekly Earnings","2012","Female","Professional, scientific and technical activities (M)","Euro","627.51"
"Mean Weekly Earnings","2012","Female","Administrative and support service activities (N)","Euro","413.83"
"Mean Weekly Earnings","2012","Female","Public administration and defence; compulsory social security (O)","Euro","766.25"
"Mean Weekly Earnings","2012","Female","Education (P)","Euro","736.25"
"Mean Weekly Earnings","2012","Female","Human health and social work activities (Q)","Euro","623.09"
"Mean Weekly Earnings","2012","Female","Industry (B to E)","Euro","683.29"
"Mean Weekly Earnings","2012","Female","Financial, insurance and real estate activities (K,L)","Euro","800.11"
"Mean Weekly Earnings","2012","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","364.96"
"Mean Weekly Earnings","2013","Both sexes","All NACE economic sectors","Euro","662.65"
"Mean Weekly Earnings","2013","Both sexes","Construction (F)","Euro","616.79"
