"Statistic Label","Year","Sex","NUTS 3 Regions","UNIT","VALUE"
"Mean Annual Earnings","2011","Both sexes","State","Euro","39594"
"Mean Annual Earnings","2011","Both sexes","Border","Euro","33572"
"Mean Annual Earnings","2011","Both sexes","Midland","Euro","36176"
"Mean Annual Earnings","2011","Both sexes","West","Euro","36274"
"Mean Annual Earnings","2011","Both sexes","Dublin","Euro","44243"
"Mean Annual Earnings","2011","Both sexes","Mid-East","Euro","40673"
"Mean Annual Earnings","2011","Both sexes","Mid-West","Euro","37448"
"Mean Annual Earnings","2011","Both sexes","South-East","Euro","35539"
"Mean Annual Earnings","2011","Both sexes","South-West","Euro","38253"
"Mean Annual Earnings","2011","Male","State","Euro","45781"
"Mean Annual Earnings","2011","Male","Border","Euro","36913"
"Mean Annual Earnings","2011","Male","Midland","Euro","40711"
"Mean Annual Earnings","2011","Male","West","Euro","40491"
"Mean Annual Earnings","2011","Male","Dublin","Euro","51280"
"Mean Annual Earnings","2011","Male","Mid-East","Euro","47735"
"Mean Annual Earnings","2011","Male","Mid-West","Euro","43341"
"Mean Annual Earnings","2011","Male","South-East","Euro","40790"
"Mean Annual Earnings","2011","Male","South-West","Euro","44751"
"Mean Annual Earnings","2011","Female","State","Euro","33733"
"Mean Annual Earnings","2011","Female","Border","Euro","30747"
"Mean Annual Earnings","2011","Female","Midland","Euro","31926"
"Mean Annual Earnings","2011","Female","West","Euro","32633"
"Mean Annual Earnings","2011","Female","Dublin","Euro","37226"
"Mean Annual Earnings","2011","Female","Mid-East","Euro","33663"
"Mean Annual Earnings","2011","Female","Mid-West","Euro","31993"
"Mean Annual Earnings","2011","Female","South-East","Euro","30913"
"Mean Annual Earnings","2011","Female","South-West","Euro","32084"
"Mean Annual Earnings","2012","Both sexes","State","Euro","39487"
"Mean Annual Earnings","2012","Both sexes","Border","Euro","33372"
"Mean Annual Earnings","2012","Both sexes","Midland","Euro","35891"
"Mean Annual Earnings","2012","Both sexes","West","Euro","36141"
"Mean Annual Earnings","2012","Both sexes","Dublin","Euro","44197"
"Mean Annual Earnings","2012","Both sexes","Mid-East","Euro","40340"
"Mean Annual Earnings","2012","Both sexes","Mid-West","Euro","37541"
"Mean Annual Earnings","2012","Both sexes","South-East","Euro","35324"
"Mean Annual Earnings","2012","Both sexes","South-West","Euro","38307"
"Mean Annual Earnings","2012","Male","State","Euro","45452"
"Mean Annual Earnings","2012","Male","Border","Euro","36382"
"Mean Annual Earnings","2012","Male","Midland","Euro","40211"
"Mean Annual Earnings","2012","Male","West","Euro","40188"
"Mean Annual Earnings","2012","Male","Dublin","Euro","51003"
"Mean Annual Earnings","2012","Male","Mid-East","Euro","47148"
"Mean Annual Earnings","2012","Male","Mid-West","Euro","43382"
"Mean Annual Earnings","2012","Male","South-East","Euro","40277"
"Mean Annual Earnings","2012","Male","South-West","Euro","44633"
"Mean Annual Earnings","2012","Female","State","Euro","33806"
"Mean Annual Earnings","2012","Female","Border","Euro","30811"
"Mean Annual Earnings","2012","Female","Midland","Euro","31839"
"Mean Annual Earnings","2012","Female","West","Euro","32597"
"Mean Annual Earnings","2012","Female","Dublin","Euro","37405"
"Mean Annual Earnings","2012","Female","Mid-East","Euro","33534"
"Mean Annual Earnings","2012","Female","Mid-West","Euro","32074"
"Mean Annual Earnings","2012","Female","South-East","Euro","30904"
"Mean Annual Earnings","2012","Female","South-West","Euro","32276"
